At time 0, Job1 arrives.
At time 4728, Job374 arrives.
At time 9115, Job73 finishes at disk1.
At time 4741, Job375 arrives.
At time 9139, Job73 finishes at disk1.
At time 4757, Job376 arrives.
At time 9175, Job73 finishes at disk1.
At time 4769, Job377 arrives.
At time 9206, Job73 finishes at disk1.
At time 4788, Job378 arrives.
At time 9241, Job73 finishes at disk1.
At time 4801, Job379 arrives.
At time 8394, Job73 finishes at network.
At time 4806, Job380 arrives.
At time 9282, Job73 finishes at disk1.
At time 4813, Job381 arrives.
At time 8426, Job73 finishes at network.
At time 4833, Job382 arrives.
At time 7735, Job73 exits from CPU.
At time 4844, Job383 arrives.
At time 7756, Job74 exits from CPU.
At time 4850, Job384 arrives.
At time 7771, Job75 exits from CPU.
At time 4861, Job385 arrives.
At time 8511, Job76 finishes at network.
At time 4870, Job386 arrives.
At time 7806, Job76 exits from CPU.
At time 4876, Job387 arrives.
At time 9412, Job77 finishes at disk1.
At time 4893, Job388 arrives.
At time 8574, Job77 finishes at network.
At time 4902, Job389 arrives.
At time 9461, Job77 finishes at disk1.
At time 4917, Job390 arrives.
At time 8621, Job77 finishes at network.
At time 4936, Job391 arrives.
At time 9518, Job77 finishes at disk1.
At time 4949, Job392 arrives.
At time 9545, Job77 finishes at disk1.
At time 4968, Job393 arrives.
At time 9581, Job77 finishes at disk1.
At time 4982, Job394 arrives.
At time 8720, Job77 finishes at network.
At time 4992, Job395 arrives.
At time 7995, Job77 exits from CPU.
At time 4997, Job396 arrives.
At time 9637, Job78 finishes at disk1.
At time 5007, Job397 arrives.
At time 9660, Job78 finishes at disk1.
At time 5026, Job398 arrives.
At time 9690, Job78 finishes at disk1.
At time 5036, Job399 arrives.
At time 9715, Job78 finishes at disk1.
At time 5047, Job400 arrives.
At time 9744, Job78 finishes at disk1.
At time 5057, Job401 arrives.
At time 8853, Job78 finishes at network.
At time 5075, Job402 arrives.
At time 8882, Job78 finishes at network.
At time 5082, Job403 arrives.
At time 9800, Job78 finishes at disk1.
At time 5095, Job404 arrives.
At time 9829, Job78 finishes at disk1.
At time 5102, Job405 arrives.
At time 8937, Job78 finishes at network.
At time 5116, Job406 arrives.
At time 9868, Job78 finishes at disk1.
At time 5122, Job407 arrives.
At time 9889, Job78 finishes at disk1.
At time 5132, Job408 arrives.
At time 9915, Job78 finishes at disk1.
At time 5140, Job409 arrives.
At time 9938, Job78 finishes at disk1.
At time 5147, Job410 arrives.
At time 9959, Job78 finishes at disk1.
At time 5155, Job411 arrives.
At time 9044, Job78 finishes at network.
At time 5161, Job412 arrives.
At time 9069, Job78 finishes at network.
At time 5181, Job413 arrives.
At time 10021, Job78 finishes at disk1.
At time 5186, Job414 arrives.
At time 9113, Job78 finishes at network.
At time 5199, Job415 arrives.
At time 9142, Job78 finishes at network.
At time 5213, Job416 arrives.
At time 10078, Job78 finishes at disk1.
At time 5219, Job417 arrives.
At time 8379, Job78 exits from CPU.
At time 5227, Job418 arrives.
At time 9201, Job79 finishes at network.
At time 5238, Job419 arrives.
At time 9225, Job79 finishes at network.
At time 5249, Job420 arrives.
At time 9254, Job79 finishes at network.
At time 5260, Job421 arrives.
At time 9280, Job79 finishes at network.
At time 5271, Job422 arrives.
At time 10190, Job79 finishes at disk1.
